الكتب,الكاتب,سنة النشر,دار النشر,قسم الكتاب,تلخيص الكتاب,عدد الصفحات
الجمعية السرية للمواطن..,أشرف العشماوي,2021,المصرية اللبنانية للنشر والتوزيع,روايات,"أبطال هذه الرواية شخصيات غير تقليدية لكننا نصادفها كل يوم ، يعيشون في المسافة الفاصلة بين الحقيقة والخيال ، ظلوا صامتين حتى فك المؤلف عقدة لسانهم ليحكوا ما أرهقهم كتمانه عبر سنوات طويلة ، ما أوجعهم وما أسعدهم ، أحلامهم التي لا تحتاج إلى تفسير وطموحاتهم التي لا تُكلف الكثير . في روايته الجديدة يطرح أ",200
مصور الاطفال - الثياب,إميلي بومون وَ ناتالي بيلينو,2021,المجاني للنشر والتوزيع,قصص الأطفال,"مصور الأطفال, كتاب جميل, مصنوع من الورق المقوى لتعريف الأطفال على الطبيعة وفصول السنة وأسماء الأحوال الجوية بصور ملونة جميلة",177
انظر داخل - المزرعة,مجموعة مؤلفين,2021,المجاني للنشر والتوزيع,كتب وموسوعات للأطفال,ارفع الطيات لاستكشاف أنواع مختلفة من الأليات المتحركة من جرافات تجوب في مواقع ورش البناء إلى سيارات الإطفاء تهرع الى مكان الحوادث او الطائرات العملاقة ترتفع عاليا في السماء.,253
انظر داخل - الفضاء,مجموعة مؤلفين,2021,المجاني للنشر والتوزيع,كتب وموسوعات للأطفال,"سلسلة كتب يتطرق كل منها الى موضوع معين، وتتميز بالطيات التي يستمتع القارىء الصغير برفعها واكتشاف ما وراءها من معلومات، فتثير في نفسه حسّ الفضول وتزيد من التشويق في المطالعةيحتوي على:صور/رسوم ،مجسم ثلاثي الأبعادينصح لأعمار بين: 9-12 سنوات",231
اكتشف داخل - حديقة الح..,مجموعة مؤلفين,2021,المجاني للنشر والتوزيع,قصص الأطفال,"إسترق النظر تحت أوراق الشجر وخلف الأبواب لتجد ببغاوات صاخبة، وقردة لعوبة، وزرافات طويلة جداً والكثير عن الحيوانات في حديقتها!كتاب اكتشف داخل حديقة الحيوانات .. من سلسلة كتب ( اكتشف داخل ) التي يتطرق كل منها إلى موضوع معين بأسلوب بسيط، وما يميزها هو الطيّات التي يستمتع القارئ الصغير برفعها واكتشاف",391
My Little Darling - Ra..,مجموعة مؤلفين,2021,المجاني للنشر والتوزيع,قصص الأطفال,"A book full of tenderness, showing the mother’s relationship with her little one when he plays and eats, commits stupid things, or desires foreplay",183
My Little Darling - Po..,مجموعة مؤلفين,2021,المجاني للنشر والتوزيع,قصص الأطفال,"A book full of tenderness, showing the mother’s relationship with her little one when he plays and eats, commits stupid things, or desires foreplay",261
My Little Darling - Do..,مجموعة مؤلفين,2021,المجاني للنشر والتوزيع,قصص الأطفال,"A book full of tenderness, showing the mother’s relationship with her little one when he plays and eats, commits stupid things, or desires foreplay",415
My Little Darling - Co..,مجموعة مؤلفين,2021,المجاني للنشر والتوزيع,قصص الأطفال,"A book full of tenderness, showing the mother’s relationship with her little one when he plays and eats, commits stupid things, or desires foreplay",391
My Little Darling - Be.. ,مجموعة مؤلفين,2021,المجاني للنشر والتوزيع,قصص الأطفال,"A book full of tenderness, showing the mother’s relationship with her little one when he plays and eats, commits stupid things, or desires foreplay",448
